    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
      60            60     0.5180   1.000E+00   0.1041   0.0151   8.729E-16   7.80560352E-02   2.69060852E-03
      61            61     0.5241   1.000E+00   0.1041   0.0151   9.182E-16   7.80563066E-02   2.69063330E-03
      62            62     0.5183   1.000E+00   0.1041   0.0151   8.916E-16   7.80565781E-02   2.69065819E-03
      63            63     0.5258   1.000E+00   0.1040   0.0151   8.315E-16   7.80568499E-02   2.69068318E-03
      64            64     0.5619   1.000E+00   0.1039   0.0151   9.606E-16   7.80571218E-02   2.69070828E-03
      65            65     0.5204   1.000E+00   0.1038   0.0151   9.048E-16   7.80573939E-02   2.69073348E-03
      66            66     0.5219   1.000E+00   0.1036   0.0151   9.287E-16   7.80576662E-02   2.69075877E-03
      67            67     0.5184   1.000E+00   0.1036   0.0151   8.607E-16   7.80579385E-02   2.69078416E-03
      68            68     0.5185   1.000E+00   0.1037   0.0151   8.036E-16   7.80582109E-02   2.69080963E-03
      69            69     0.5202   1.000E+00   0.1037   0.0151   9.863E-16   7.80584835E-02   2.69083519E-03
      70            70     0.5184   1.000E+00   0.1037   0.0151   8.758E-16   7.80587562E-02   2.69086085E-03
      71            71     0.5236   1.000E+00   0.1036   0.0151   8.958E-16   7.80590290E-02   2.69088658E-03
      72            72     0.5177   1.000E+00   0.1036   0.0151   9.475E-16   7.80593020E-02   2.69091241E-03
      73            73     0.5297   1.000E+00   0.1035   0.0151   1.100E-15   7.80595751E-02   2.69093831E-03
      74            74     0.5581   1.000E+00   0.1034   0.0151   8.877E-16   7.80598484E-02   2.69096430E-03
      75            75     0.5250   1.000E+00   0.1032   0.0151   8.116E-16   7.80601218E-02   2.69099036E-03
      76            76     0.5246   1.000E+00   0.1031   0.0151   9.203E-16   7.80603954E-02   2.69101649E-03
      77            77     0.5184   1.000E+00   0.1029   0.0151   9.038E-16   7.80606691E-02   2.69104269E-03
      78            78     0.5197   1.000E+00   0.1029   0.0151   9.230E-16   7.80609430E-02   2.69106897E-03
      79            79     0.5178   1.000E+00   0.1029   0.0151   8.205E-16   7.80612169E-02   2.69109530E-03
      80            80     0.5201   1.000E+00   0.1028   0.0151   8.710E-16   7.80614909E-02   2.69112171E-03
      81            81     0.5224   1.000E+00   0.1029   0.0151   8.265E-16   7.80617651E-02   2.69114817E-03
      82            82     0.5204   1.000E+00   0.1029   0.0151   9.510E-16   7.80620394E-02   2.69117470E-03
      83            83     0.5613   1.000E+00   0.1029   0.0151   9.809E-16   7.80623138E-02   2.69120130E-03
      84            84     0.5181   1.000E+00   0.1030   0.0151   8.528E-16   7.80625884E-02   2.69122794E-03
      85            85     0.5189   1.000E+00   0.1029   0.0151   8.465E-16   7.80628630E-02   2.69125464E-03
      86            86     0.5189   1.000E+00   0.1029   0.0151   7.861E-16   7.80631378E-02   2.69128139E-03
      87            87     0.5235   1.000E+00   0.1028   0.0151   8.336E-16   7.80634127E-02   2.69130818E-03
      88            88     0.5241   1.000E+00   0.1027   0.0150   8.972E-16   7.80636877E-02   2.69133502E-03
      89            89     0.5204   1.000E+00   0.1028   0.0150   8.005E-16   7.80639629E-02   2.69136190E-03
      90            90     0.5191   1.000E+00   0.1028   0.0150   8.436E-16   7.80642382E-02   2.69138882E-03
      91            91     0.5184   1.000E+00   0.1028   0.0150   8.212E-16   7.80645136E-02   2.69141578E-03
      92            92     0.5186   1.000E+00   0.1028   0.0150   8.852E-16   7.80647891E-02   2.69144278E-03
      93            93     0.5659   1.000E+00   0.1028   0.0150   7.697E-16   7.80650647E-02   2.69146981E-03
      94            94     0.5180   1.000E+00   0.1029   0.0150   9.223E-16   7.80653405E-02   2.69149688E-03
      95            95     0.5223   1.000E+00   0.1029   0.0150   7.922E-16   7.80656164E-02   2.69152399E-03
      96            96     0.5174   1.000E+00   0.1029   0.0150   1.007E-15   7.80658924E-02   2.69155113E-03
      97            97     0.5193   1.000E+00   0.1028   0.0150   8.938E-16   7.80661685E-02   2.69157830E-03
      98            98     0.5230   1.000E+00   0.1028   0.0150   9.455E-16   7.80664446E-02   2.69160549E-03
      99            99     0.5193   1.000E+00   0.1027   0.0150   9.914E-16   7.80667209E-02   2.69163272E-03
     100           100     0.5224   1.000E+00   0.1026   0.0150   8.674E-16   7.80669973E-02   2.69165998E-03
     101           101     0.5194   1.000E+00   0.1026   0.0150   8.348E-16   7.80672739E-02   2.69168728E-03
     102           102     0.5616   1.000E+00   0.1026   0.0150   8.074E-16   7.80675506E-02   2.69171460E-03
