    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
      60            60     0.0058   1.000E+00   0.1029   0.0098   8.321E-16   7.80670986E-02   2.68751668E-03
      61            61     0.0057   1.000E+00   0.1029   0.0097   8.931E-16   7.80675170E-02   2.68751224E-03
      62            62     0.0057   1.000E+00   0.1030   0.0096   9.062E-16   7.80679345E-02   2.68750825E-03
      63            63     0.0057   1.000E+00   0.1030   0.0096   9.449E-16   7.80683513E-02   2.68750469E-03
      64            64     0.0057   1.000E+00   0.1031   0.0096   8.537E-16   7.80687673E-02   2.68750155E-03
      65            65     0.0057   1.000E+00   0.1031   0.0095   8.174E-16   7.80691825E-02   2.68749882E-03
      66            66     0.0057   1.000E+00   0.1031   0.0095   9.261E-16   7.80695969E-02   2.68749650E-03
      67            67     0.0057   1.000E+00   0.1031   0.0094   7.870E-16   7.80700105E-02   2.68749457E-03
      68            68     0.0057   1.000E+00   0.1030   0.0094   8.525E-16   7.80704233E-02   2.68749303E-03
      69            69     0.0057   1.000E+00   0.1029   0.0094   8.439E-16   7.80708354E-02   2.68749187E-03
      70            70     0.0057   1.000E+00   0.1028   0.0093   1.142E-15   7.80712467E-02   2.68749108E-03
      71            71     0.0057   1.000E+00   0.1027   0.0093   9.931E-16   7.80716573E-02   2.68749065E-03
      72            72     0.0057   1.000E+00   0.1025   0.0093   8.360E-16   7.80720671E-02   2.68749058E-03
      73            73     0.0057   1.000E+00   0.1024   0.0092   8.990E-16   7.80724761E-02   2.68749085E-03
      74            74     0.0057   1.000E+00   0.1025   0.0092   9.344E-16   7.80728845E-02   2.68749146E-03
      75            75     0.0057   1.000E+00   0.1026   0.0092   8.964E-16   7.80732921E-02   2.68749241E-03
      76            76     0.0057   1.000E+00   0.1027   0.0092   9.478E-16   7.80736989E-02   2.68749368E-03
      77            77     0.0058   1.000E+00   0.1027   0.0091   7.484E-16   7.80741051E-02   2.68749526E-03
      78            78     0.0057   1.000E+00   0.1027   0.0091   9.148E-16   7.80745106E-02   2.68749715E-03
      79            79     0.0057   1.000E+00   0.1026   0.0091   9.421E-16   7.80749153E-02   2.68749935E-03
      80            80     0.0057   1.000E+00   0.1026   0.0090   8.810E-16   7.80753194E-02   2.68750185E-03
      81            81     0.0057   1.000E+00   0.1026   0.0090   9.869E-16   7.80757227E-02   2.68750463E-03
      82            82     0.0057   1.000E+00   0.1025   0.0090   8.844E-16   7.80761254E-02   2.68750769E-03
      83            83     0.0057   1.000E+00   0.1024   0.0089   8.639E-16   7.80765274E-02   2.68751103E-03
      84            84     0.0057   1.000E+00   0.1024   0.0089   9.001E-16   7.80769288E-02   2.68751464E-03
      85            85     0.0057   1.000E+00   0.1023   0.0089   9.101E-16   7.80773294E-02   2.68751850E-03
      86            86     0.0057   1.000E+00   0.1023   0.0088   9.838E-16   7.80777294E-02   2.68752263E-03
      87            87     0.0057   1.000E+00   0.1024   0.0088   8.426E-16   7.80781288E-02   2.68752700E-03
      88            88     0.0057   1.000E+00   0.1024   0.0088   9.670E-16   7.80785275E-02   2.68753162E-03
      89            89     0.0057   1.000E+00   0.1024   0.0087   8.465E-16   7.80789255E-02   2.68753647E-03
      90            90     0.0057   1.000E+00   0.1024   0.0087   8.534E-16   7.80793229E-02   2.68754155E-03
      91            91     0.0058   1.000E+00   0.1024   0.0087   8.628E-16   7.80797197E-02   2.68754686E-03
      92            92     0.0057   1.000E+00   0.1023   0.0086   8.459E-16   7.80801159E-02   2.68755240E-03
      93            93     0.0057   1.000E+00   0.1023   0.0086   8.660E-16   7.80805114E-02   2.68755815E-03
      94            94     0.0057   1.000E+00   0.1022   0.0086   8.517E-16   7.80809063E-02   2.68756411E-03
      95            95     0.0057   1.000E+00   0.1022   0.0086   9.568E-16   7.80813006E-02   2.68757027E-03
      96            96     0.0057   1.000E+00   0.1021   0.0085   1.021E-15   7.80816943E-02   2.68757664E-03
      97            97     0.0057   1.000E+00   0.1020   0.0085   9.349E-16   7.80820874E-02   2.68758321E-03
